,Speed,TravelTime,DataAsOf,linkId
466283,47.84375,156,4/12/2018 20:48:12,4616261
500002,18.015625,147,2/13/2018 20:32:11,4616341
1149553,9.3203125,257,9/30/2018 17:48:22,4616305
1177398,24.234375,126,7/31/2018 10:48:05,4456479
964609,14.90625,331,2/25/2018 17:37:03,4329507
813996,44.71875,262,7/22/2018 01:48:06,4362252
572006,0.0,0,2/15/2018 16:42:10,4616216
841653,0.0,0,9/22/2018 19:23:36,4616309
168165,12.421875,508,4/5/2018 08:39:04,4616324
911148,0.0,0,12/24/2018 14:08:19,4616266
777676,58.40625,187,3/21/2018 02:58:09,4616351
334353,42.875,92,12/9/2018 16:58:22,4616195
1086437,62.75,111,9/29/2018 02:48:15,4616199
20932,46.59375,154,2/1/2018 14:43:04,4456477
517248,25.46875,104,7/14/2018 10:33:10,4616341
718830,45.96875,200,5/19/2018 15:36:03,4616354
963025,40.375,193,3/25/2018 22:43:09,4616353
535734,49.09375,87,9/14/2018 22:13:23,4616226
990200,54.0625,126,6/26/2018 16:53:02,4456505
356560,0.0,0,12/10/2018 06:38:22,4456494
666399,37.90625,424,5/18/2018 07:23:06,4362247
1082854,57.15625,87,4/28/2018 09:33:03,4616214
453689,30.4375,128,7/12/2018 19:18:04,4616195
330950,9.3203125,455,5/9/2018 15:33:03,4620332
140089,51.5625,107,9/4/2018 17:28:19,4616192
845833,37.28125,114,5/22/2018 22:18:03,4620331
836620,0.0,0,1/22/2018 17:03:03,4616266
819222,38.53125,185,8/22/2018 05:18:27,4616339
551966,51.5625,134,6/15/2018 09:58:03,4456505
844795,36.65625,63,7/22/2018 20:48:16,4763650
302866,47.21875,91,3/8/2018 20:53:03,4620331
840037,29.203125,259,9/22/2018 18:23:41,4616352
672426,48.46875,141,12/18/2018 10:08:23,4456505
726394,0.0,0,6/19/2018 21:53:07,4456511
888681,56.53125,130,12/24/2018 00:08:14,4620298
1108104,50.34375,106,10/30/2018 11:37:22,4616299
384484,0.0,0,9/11/2018 00:38:14,4456452
602269,13.671875,606,7/16/2018 15:03:03,4620310
598309,9.3203125,452,2/16/2018 08:52:03,4620332
885086,54.0625,145,6/23/2018 23:53:04,4616201
790212,23.609375,111,12/21/2018 11:02:56,4616341
683114,48.46875,96,8/18/2018 17:03:05,4763656
191810,24.234375,323,3/6/2018 00:17:09,4616353
426147,43.5,53,12/12/2018 01:43:12,4763650
607314,39.75,181,10/16/2018 18:33:26,4456477
1174622,11.1796875,400,5/31/2018 09:33:03,4763652
1015440,29.203125,148,7/27/2018 06:23:13,4620314
627093,52.8125,87,8/17/2018 06:23:17,4763656
1135337,50.34375,42,9/30/2018 08:58:27,4616218
652237,44.71875,99,8/17/2018 21:58:31,4616260
1181695,50.34375,124,7/31/2018 13:48:03,4616203
12717,55.3125,123,4/1/2018 10:38:02,4456505
366673,21.125,450,1/10/2018 12:12:03,4616340
940766,14.2890625,431,4/24/2018 19:34:04,4616324
423112,22.984375,142,4/11/2018 18:44:03,4616325
1059451,22.984375,240,4/27/2018 19:23:11,4616252
81374,45.375,436,2/3/2018 03:48:03,4616346
387054,0.0,0,4/10/2018 20:48:13,4616282
1042541,14.90625,285,10/28/2018 19:08:24,4616309
224124,20.5,126,4/6/2018 18:28:11,4616342
566208,0.0,0,8/15/2018 16:53:13,4616342
872153,43.5,250,5/23/2018 14:33:06,4362244
649308,32.3125,155,12/17/2018 19:53:29,4329507
784110,0.0,0,2/21/2018 03:02:04,4763657
720006,35.40625,212,10/20/2018 11:17:43,4616352
899169,52.1875,105,7/24/2018 06:18:17,4616239
738750,57.78125,86,7/20/2018 03:13:03,4616214
252461,50.34375,155,7/7/2018 15:03:03,4616201
667387,21.125,301,12/18/2018 07:03:00,4616324
837284,36.65625,58,1/22/2018 17:23:10,4616205
591709,36.65625,176,6/16/2018 10:33:03,4456501
145257,34.15625,130,1/4/2018 17:51:03,4616250
549433,58.40625,79,6/15/2018 08:28:04,4616246
220978,0.0,0,3/6/2018 18:18:10,4616282
555036,54.0625,306,10/15/2018 10:08:22,4362250
305178,47.21875,79,1/8/2018 22:07:03,4616356
300030,15.53125,274,12/8/2018 19:43:42,4616310
1104322,7.44921875,295,6/29/2018 15:33:10,4616323
695746,0.0,0,5/19/2018 01:28:09,4616217
1057982,44.71875,161,1/28/2018 11:42:03,4456477
68291,34.15625,146,9/2/2018 21:03:38,4329507
345402,50.34375,43,9/10/2018 00:28:12,4456483
770088,29.8125,340,1/20/2018 23:48:04,4616333
1114130,0.0,0,6/29/2018 21:33:28,4616196
908485,10.5625,905,4/24/2018 00:03:03,4616340
1036608,44.125,286,9/27/2018 19:58:26,4616319
1064837,1.8603515625,3400,7/28/2018 12:53:03,4620315
783208,38.53125,209,4/20/2018 20:13:03,4456476
451220,8.0703125,311,10/12/2018 18:03:25,4616341
96295,51.5625,31,6/3/2018 14:18:03,4616194
817888,21.734375,105,5/22/2018 05:23:03,4616323
185878,0.0,0,1/5/2018 18:57:03,4329472
179445,43.5,49,12/5/2018 16:58:26,4616218
122949,0.0,0,12/4/2018 05:53:35,4616255
758810,16.765625,331,5/20/2018 16:23:02,4329472
413424,50.9375,150,7/11/2018 18:28:04,4616281
1116321,40.375,52,9/29/2018 21:12:28,4616205
306939,54.6875,152,10/9/2018 00:53:16,4616297
396775,0.0,0,2/8/2017 17:55:05,4616365
815557,46.59375,99,8/22/2018 02:27:14,4763649
931595,59.65625,45,6/25/2018 04:43:06,4362314
689069,44.71875,56,3/18/2018 20:18:03,4616253
363375,52.1875,82,4/10/2018 06:33:04,4616226
663905,45.96875,48,2/18/2018 01:07:04,4456483
273638,26.703125,406,8/8/2018 04:03:15,4616276
347754,41.0,52,7/10/2018 01:53:04,4616219
1081356,50.34375,127,5/28/2018 23:48:03,4456500
716504,47.21875,232,9/19/2018 13:58:31,4616350
89114,50.9375,105,8/3/2018 09:58:24,4616241
552067,57.78125,136,3/15/2018 07:38:03,4616201
213450,38.53125,194,5/6/2018 14:43:03,4456481
243194,41.0,112,2/7/2018 07:13:03,4456497
586558,55.3125,48,9/16/2018 05:38:19,4362314
959452,41.0,56,7/25/2018 19:38:07,4763650
319477,30.4375,140,8/9/2018 08:23:17,4616220
417780,46.59375,84,5/11/2018 21:18:06,4362249
499954,50.9375,151,2/13/2018 20:32:03,4616281
762312,44.71875,47,10/21/2018 13:28:18,4763655
343681,27.953125,160,12/9/2018 22:43:22,4620330
449149,11.796875,531,7/12/2018 16:33:02,4456501
300793,55.90625,83,6/8/2018 20:48:03,4763656
689620,45.96875,139,12/18/2018 20:43:24,4456500
380343,48.46875,132,1/10/2018 20:37:04,4616312
587019,59.65625,54,7/16/2018 05:33:03,4616212
1009087,57.15625,115,3/27/2018 04:33:03,4616193
988613,29.203125,103,8/26/2018 14:03:04,4456479
478682,0.0,0,5/13/2018 10:58:10,4616216
389438,26.703125,382,3/11/2018 03:18:09,4616333
1142216,15.53125,320,6/30/2018 15:08:10,4616255
201728,64.0,94,5/6/2018 07:28:10,4616198
330077,37.90625,70,9/9/2018 12:33:20,4362314
913519,43.5,123,6/24/2018 17:28:10,4616300
929448,31.0625,346,6/25/2018 03:23:03,4616276
904690,0.0,0,6/24/2018 12:02:10,4616210
113104,0.0,0,8/4/2018 00:48:10,4616217
563364,16.15625,136,10/15/2018 15:18:31,4616323
30912,0.0,0,3/1/2018 20:57:04,4616338
506414,23.609375,173,9/14/2018 04:03:27,4616229
140300,41.0,114,12/4/2018 16:43:22,4456497
22815,53.4375,129,2/1/2018 15:53:03,4456505
656146,43.5,252,6/18/2018 02:23:09,4616351
910901,47.84375,52,2/24/2018 08:42:02,4456498
334138,24.84375,278,7/9/2018 17:28:04,4616199
709635,11.1796875,483,12/19/2018 09:13:28,4329472
86641,0.0,0,12/3/2018 07:28:32,4329499
616982,45.375,435,6/17/2018 02:08:04,4616346
64304,24.84375,260,5/2/2018 18:38:02,4456502
1090761,36.65625,145,5/29/2018 05:38:03,4456510
748297,41.0,52,3/20/2018 08:48:03,4616204
1125236,12.421875,167,1/30/2018 06:08:03,4616219
202247,24.84375,412,6/6/2018 07:53:10,4616328
1171196,21.734375,196,1/31/2018 10:33:03,4616309
596714,11.1796875,209,5/16/2018 08:44:04,4456452
992346,0.0,0,8/26/2018 16:18:03,4616329
56294,64.625,80,2/2/2018 12:28:03,4616202
986398,47.84375,227,10/27/2018 08:22:39,4362244
770444,6.828125,1177,4/20/2018 12:33:03,4620315
161856,14.90625,415,12/5/2018 06:08:35,4616203
146303,50.9375,144,12/4/2018 20:23:31,4620298
287618,26.703125,361,7/8/2018 12:48:03,4616340
153438,13.0390625,489,12/5/2018 00:58:19,4616324
401759,0.0,0,8/11/2018 11:08:06,4362314
248250,30.4375,167,9/7/2018 12:38:41,4616255
15615,11.796875,358,8/1/2018 12:33:03,4620332
556089,0.0,0,4/13/2018 12:08:03,4456481
1077758,23.609375,456,10/29/2018 16:58:29,4362244
997375,15.53125,339,7/26/2018 19:13:07,4456510
112356,47.84375,89,1/3/2018 22:25:18,4620331
1061619,26.09375,175,10/29/2018 06:58:20,4763652
220061,48.46875,124,3/6/2018 17:43:11,4616198
608848,19.265625,373,7/16/2018 19:03:10,4616225
724475,28.578125,334,12/19/2018 18:23:28,4362251
1091958,46.59375,206,8/29/2018 05:53:26,4362251
686574,18.640625,550,7/18/2018 19:03:10,4616333
488088,23.609375,354,7/13/2018 16:33:04,4620310
400983,52.8125,141,9/11/2018 10:53:30,4616261
304798,44.71875,112,3/8/2018 22:08:06,4362342
35920,51.5625,90,4/2/2018 00:43:03,4763656
230588,63.375,82,1/6/2018 22:37:03,4616202
70175,55.90625,51,9/2/2018 22:12:22,4616211
653739,41.625,94,2/17/2018 18:52:04,4616209
130656,55.3125,81,9/4/2018 11:37:29,4616250
966050,54.6875,98,1/26/2018 01:08:09,4616299
146183,49.09375,94,8/4/2018 03:38:09,4763652
127969,44.125,245,10/4/2018 10:08:24,4616276
53346,48.46875,159,5/2/2018 11:48:02,4329483
497120,54.6875,294,9/13/2018 22:18:23,4362247
900276,0.0,0,8/24/2018 07:28:20,4456502
1187157,50.9375,31,1/31/2018 20:23:04,4616194
1121241,53.4375,172,1/30/2018 03:43:03,4616355
578852,57.15625,47,8/16/2018 00:38:06,4362314
10392,41.625,55,9/1/2018 09:18:20,4763650
395869,32.3125,210,10/11/2018 07:53:23,4616332
244270,5.58984375,695,5/7/2018 09:48:02,4620331
159891,62.75,125,6/5/2018 05:43:03,4616201
459737,0.0,0,9/12/2018 23:13:30,4616340
223703,53.4375,53,12/6/2018 20:23:26,4616211
591128,41.625,57,5/16/2018 08:44:04,4456450
565475,29.203125,187,4/15/2018 08:38:07,4329472
830716,46.59375,191,4/22/2018 00:54:04,4616259
747346,13.671875,236,4/19/2018 22:32:04,4616338
13514,42.875,50,8/1/2018 11:12:03,4616205
1115449,22.984375,176,9/29/2018 20:43:43,4616223
1148171,18.640625,567,9/30/2018 16:53:22,4616276
250459,45.96875,81,9/7/2018 13:48:17,4616356
669452,0.0,0,2/18/2018 04:32:03,4362250
130934,10.5625,300,4/4/2018 10:08:03,4616338
868149,31.0625,164,6/23/2018 13:28:10,4616255
273458,36.65625,122,3/8/2018 02:43:03,4620330
987431,31.6875,118,6/26/2018 15:13:03,4616356
26167,49.6875,43,7/1/2018 19:03:10,4616204
1798,61.5,127,9/1/2018 03:58:19,4616201
910993,24.234375,442,12/24/2018 13:58:20,4616276
793710,38.53125,509,1/21/2018 14:23:02,4616346
266553,46.59375,118,6/7/2018 23:38:10,4616239
376665,51.5625,152,3/10/2018 18:23:03,4616213
761930,32.3125,120,10/21/2018 13:13:22,4362249
1082858,1.8603515625,2664,10/29/2018 20:03:01,4616203
314378,59.03125,199,2/9/2018 02:47:05,4362252
752669,54.6875,169,3/20/2018 11:33:04,4616355
642705,19.875,79,10/18/2018 11:22:37,4616194
173641,48.46875,110,1/5/2018 11:21:11,4616241
62466,21.734375,121,9/2/2018 17:33:16,4616341
721939,0.0,0,1/19/2018 17:58:08,4620330
315679,65.25,79,10/9/2018 06:13:21,4616202
475917,29.8125,141,12/13/2018 08:33:24,4616309
214811,13.0390625,326,3/6/2018 14:33:03,4616310
14479,16.15625,354,5/1/2018 11:47:02,4456494
11934,47.84375,227,12/1/2018 09:17:32,4362244
266874,23.609375,108,3/7/2018 23:28:04,4616342
107921,30.4375,273,3/3/2018 20:32:04,4620310
562178,8.6875,718,6/15/2018 16:18:11,4616324
871403,27.953125,280,7/23/2018 13:13:10,4616353
874896,16.15625,300,6/23/2018 17:38:07,4329507
42727,46.59375,192,4/2/2018 04:53:10,4616298
454217,38.53125,65,5/12/2018 19:53:04,4616253
1140438,20.5,376,10/31/2018 07:43:12,4616353
879889,49.09375,120,1/23/2018 19:43:11,4616206
253475,33.5625,147,7/7/2018 15:43:03,4362342
119513,17.390625,474,3/4/2018 03:42:03,4620315
859054,47.84375,143,6/23/2018 07:53:04,4616329
52812,0.0,0,1/2/2018 08:41:28,4616309
400870,19.265625,625,9/11/2018 10:48:21,4616357
680979,0.0,0,4/18/2018 06:28:11,4616217
373187,9.9375,426,3/10/2018 16:18:03,4616310
870915,47.84375,53,12/23/2018 13:13:19,4616267
1031323,52.8125,303,5/27/2018 16:53:07,4362247
361858,50.9375,49,3/10/2018 09:43:03,4616267
600420,44.71875,71,4/16/2018 05:43:11,4616212
838555,22.359375,546,10/23/2018 12:53:34,4616357
372483,43.5,123,2/10/2018 14:22:10,4616299
298004,28.578125,562,12/8/2018 18:28:35,4362247
1043058,35.40625,74,3/28/2018 02:13:09,4616341
621555,45.96875,148,9/17/2018 03:18:15,4456505
862524,58.40625,104,2/23/2018 03:02:09,4616198
521600,20.5,529,9/14/2018 13:28:32,4616350
629448,8.6875,832,1/17/2018 08:53:10,4616261
131370,59.03125,132,3/4/2018 10:57:04,4616201
571096,59.03125,54,9/15/2018 20:02:50,4616212
87812,17.390625,390,8/3/2018 09:13:13,4616329
1062217,0.0,0,10/29/2018 07:23:23,4616266
824099,44.71875,47,12/22/2018 07:58:42,4763657
56383,43.5,451,6/2/2018 13:38:03,4620343
149714,53.4375,116,8/4/2018 03:38:06,4616203
118900,51.5625,82,1/4/2018 01:36:04,4616220
1136701,3.720703125,565,5/30/2018 10:13:11,4616323
863105,46.59375,163,1/23/2018 09:23:03,4616352
614932,55.3125,29,9/16/2018 23:12:20,4616194
1109987,36.65625,164,9/29/2018 17:18:39,4616198
724317,41.625,262,12/19/2018 18:18:35,4616351
514022,0.0,0,8/14/2018 08:38:27,4616196
1008226,48.46875,52,2/26/2018 20:22:03,4616305
930351,29.8125,109,1/25/2018 03:03:03,4616325
774930,11.1796875,949,6/21/2018 03:58:10,4616351
1119276,7.44921875,557,10/30/2018 18:30:30,4620314
1015568,19.265625,121,4/26/2018 16:48:04,4456450
730637,37.90625,146,1/19/2018 23:22:09,4616252
21761,15.53125,141,2/1/2018 15:18:03,4616323
410279,20.5,129,1/11/2018 15:08:06,4362314
392978,50.34375,127,2/11/2018 02:57:03,4616312
730145,47.84375,227,3/19/2018 21:38:05,4362244
379209,0.0,0,5/10/2018 21:23:13,4616216
174097,47.21875,129,6/5/2018 14:28:12,4616198
318578,21.734375,290,2/9/2018 05:22:03,4616324
782972,0.0,0,6/21/2018 08:53:10,4616196
54359,36.03125,65,2/2/2018 11:12:04,4456450
874751,47.84375,201,7/23/2018 15:18:06,4362251
674431,14.2890625,445,3/18/2018 11:13:03,4616324
652271,0.0,0,2/17/2018 17:57:09,4616216
391772,61.5,81,7/11/2018 05:03:05,4616214
304091,0.0,0,2/8/2018 20:27:04,4616338
487578,43.5,212,10/13/2018 16:28:28,4616354
1042039,49.6875,46,6/28/2018 00:58:04,4763650
778482,56.53125,69,5/21/2018 04:38:03,4362249
202005,39.75,53,6/6/2018 07:58:03,4616204
782868,50.9375,62,12/21/2018 06:28:24,4616212
1033479,36.65625,207,6/27/2018 19:58:11,4616352
855059,54.0625,127,9/23/2018 03:38:15,4456506
125925,48.46875,81,8/4/2018 03:38:14,4362249
268165,42.25,177,5/8/2018 00:38:10,4616261
921364,52.8125,88,7/24/2018 20:08:15,4763651
592841,16.765625,132,4/16/2018 01:12:04,4616323
974699,60.875,44,5/26/2018 05:48:06,4362314
474075,0.0,0,8/13/2018 07:58:30,4616196
614753,27.953125,154,12/16/2018 22:22:23,4620314
877119,16.15625,708,6/23/2018 19:03:10,4616320
1064777,0.0,0,8/28/2018 13:08:25,4616252
383629,49.09375,101,7/11/2018 00:03:03,4362342
53437,47.21875,86,6/2/2018 11:52:11,4616229
151002,35.40625,145,3/4/2018 23:07:10,4616255
437502,29.8125,47,9/12/2018 09:28:24,4616208
747125,0.0,0,2/20/2018 04:12:09,4616319
214888,30.4375,88,10/6/2018 15:53:25,4362314
1017181,0.0,0,4/27/2017 14:07:03,4616271
8346,24.234375,265,2/1/2018 07:03:03,4616312
225493,34.15625,320,3/6/2018 21:08:10,4616351
783677,44.71875,159,2/21/2018 02:57:08,4616235
940577,22.359375,887,1/25/2018 09:18:03,4616346
21323,46.59375,99,4/1/2018 16:23:04,4763656
583427,54.0625,103,1/16/2018 02:32:09,4616192
238235,46.59375,175,2/7/2018 04:07:02,4456476
664604,0.0,0,2/18/2018 01:32:09,4616228
194104,49.6875,101,1/6/2018 00:07:03,4362342
771506,16.765625,436,7/20/2018 23:33:03,4456481
202827,47.21875,45,9/6/2018 08:13:22,4763655
432890,39.125,128,8/12/2018 06:33:10,4329507
1035810,43.5,118,5/27/2018 19:43:10,4616255
803360,55.90625,146,12/21/2018 19:08:25,4616228
952819,52.8125,100,3/25/2018 15:07:09,4616300
379519,45.375,90,10/10/2018 21:48:23,4616229
1152337,43.5,49,3/30/2018 20:58:04,4763657
1104085,18.015625,142,6/29/2018 15:48:03,4616342
